
   Трасса полёта КА

__НУ КА-314_________________________________________________
 Номер-15 Тип-8 Мод-0 БЦ-1  Номер ЛШС-1
 Дата  20.06.2018   Время  07:44:33.3710   Виток 2112  
____________________________________________________________
             АСК-2000             ГСК            АСК-ИстЭ
 X,   км    1296.451272      -1184.470898       1268.907161
 Y,   км    6767.318954       6787.814426       6772.537974
 Z,   км      -2.067149         -0.000000         -0.000000
 Vx, м/с     980.475416       1468.439140        967.926016
 Vy, м/с    -195.112640        246.689516       -190.925326
 Vz, м/с    7541.740455       7543.468487       7543.468487
____________________________________________________________
             ОСК-2000          ОСК-ИстЭ
 a,   км    6893.775093       6893.775093
 e,            0.001331151       0.001331151
 i, град      97.550672         97.450832
 W, град      79.152666         79.388058
 w, град      68.368732         68.386071
 u, град     359.982661          0.000000
____________________________________________________________
Sбал  0.001442 (кг.м2)  Масса  950.0000 (кг)  
____________________________________________________________

______ЛШС - 1_______________________________________________
 Мод ГПЗ- 4 (04x04)
 Мод Атм- 0 Мод СвД- 0 Учт  ДУ- 0 
 Учт СОЛ- 0 Учт ЛУН- 0 Учт ПРЛ- 0
____________________________________________________________
____________________________________________________________________________________________
  Дата       Время         Долгота,        Широта,          Высота,        Уг. места Солнца,
                           град            град             км             град
____________________________________________________________________________________________
 20.06.2018 14:02:33,3710    6,12780308    -5,58171285       513.178885    059.49.14,1552
 20.06.2018 14:05:33,3710    3,89365535     5,77888694       511.487432    069.48.29,9606
 20.06.2018 14:08:33,3710    1,59793752    17,13537347       511.208327    077.20.21,0485
 20.06.2018 14:11:33,3710  359,10011366    28,46790252       512.188377    076.59.54,2584
 20.06.2018 14:14:33,3710  356,18097463    39,75383352       514.088215    069.09.42,2280
 20.06.2018 14:17:33,3710  352,40908334    50,96011573       516.444957    059.04.51,7569
 20.06.2018 14:20:33,3710  346,71454455    62,01508991       518.752671    048.21.22,8386
 20.06.2018 14:23:33,3710  335,48021753    72,67356950       520.546830    037.22.58,8518
 20.06.2018 14:26:33,3710  299,94236282    81,40288591       521.479518    026.17.38,9059
 20.06.2018 14:29:33,3710  225,15234349    79,82430214       521.374565    015.08.51,3171
 20.06.2018 14:32:33,3710  199,18850778    70,27181132       520.255235    003.58.28,5617
 20.06.2018 14:35:33,3710  189,90611846    59,47515634       518.340762   -007.12.12,7549
 20.06.2018 14:38:33,3710  184,82400727    48,37454657       516.011940   -018.22.03,7458
 20.06.2018 14:41:33,3710  181,30931492    37,14624631       513.750087   -029.29.41,0674
 20.06.2018 14:44:33,3710  178,51499442    25,84784142       512.057837   -040.32.53,5780
 20.06.2018 14:47:33,3710  176,07937096    14,50864343       511.373821   -051.27.23,6454
 20.06.2018 14:50:33,3710  173,80900690     3,15024893       511.995372   -062.02.39,2794
 20.06.2018 14:53:33,3710  171,57220277    -8,20778223       514.022922   -071.44.37,4177
 20.06.2018 14:56:33,3710  169,24867878   -19,54638604       517.336344   -078.08.13,3170
 20.06.2018 14:59:33,3710  166,68823845   -30,84611821       521.607591   -075.44.01,5554
 20.06.2018 15:02:33,3710  163,64508052   -42,08439115       526.347087   -067.10.08,0529
 20.06.2018 15:05:33,3710  159,61470120   -53,22563905       530.975305   -056.55.58,0119
 20.06.2018 15:08:33,3710  153,28294453   -64,18421343       534.907248   -046.11.15,1418
 20.06.2018 15:11:33,3710  139,86618190   -74,63277954       537.636553   -035.14.14,7468
 20.06.2018 15:14:33,3710   94,02214322   -82,26094099       538.807280   -024.11.23,3361
 20.06.2018 15:17:33,3710   25,59399527   -78,29587705       538.264013   -013.05.32,4651
 20.06.2018 15:20:33,3710    5,07258303   -68,37251622       536.074087   -001.58.15,4394
 20.06.2018 15:23:33,3710  356,96329363   -57,54334302       532.519018    009.09.22,8829
 20.06.2018 15:26:33,3710  352,27408353   -46,45731991       528.055752    020.16.20,6027
 20.06.2018 15:29:33,3710  348,92936388   -35,25080725       523.252111    031.21.16,0731
 20.06.2018 15:32:33,3710  346,21812836   -23,97143471       518.704782    042.21.50,3231
